x,u_m,u_mm,M,,,,,
3.189,-9.16E-05,-0.09164049,9.181938333,,,,,
3.19,-9.16E-05,-0.091561671,9.213833333,,,,,
3.191,-9.15E-05,-0.091482862,9.245738333,,,,,
3.192,-9.14E-05,-0.091404062,9.277653333,,,,,
3.193,-9.13E-05,-0.091325272,9.309578333,,,,,
3.194,-9.12E-05,-0.09124649,9.341513333,,,,,
3.195,-9.12E-05,-0.091167719,9.373458333,,,,,
3.196,-9.11E-05,-0.091088956,9.405413333,,,,,
3.197,-9.10E-05,-0.091010203,9.437378333,,,,,
3.198,-9.09E-05,-0.090931459,9.469353333,,,,,
3.199,-9.09E-05,-0.090852725,9.501338333,,,,,
3.2,-9.08E-05,-0.090774,9.533333333,,,,,
3.201,-9.07E-05,-0.090695285,9.565338333,,,,,
3.202,-9.06E-05,-0.090616579,9.597353333,,,,,
3.203,-9.05E-05,-0.090537883,9.629378333,,,,,
3.204,-9.05E-05,-0.090459197,9.661413333,,,,,
3.205,-9.04E-05,-0.09038052,9.693458333,,,,,
3.206,-9.03E-05,-0.090301853,9.725513333,,,,,
3.207,-9.02E-05,-0.090223195,9.757578333,,,,,
3.208,-9.01E-05,-0.090144548,9.789653333,,,,,
3.209,-9.01E-05,-0.09006591,9.821738333,,,,,
3.21,-9.00E-05,-0.089987282,9.853833333,,,,,
3.211,-8.99E-05,-0.089908664,9.885938333,,,,,
3.212,-8.98E-05,-0.089830056,9.918053333,,,,,
3.213,-8.98E-05,-0.089751457,9.950178333,,,,,
3.214,-8.97E-05,-0.089672869,9.982313333,,,,,
3.215,-8.96E-05,-0.089594291,10.01445833,,,,,
3.216,-8.95E-05,-0.089515722,10.04661333,,,,,
3.217,-8.94E-05,-0.089437164,10.07877833,,,,,
3.218,-8.94E-05,-0.089358616,10.11095333,,,,,
3.219,-8.93E-05,-0.089280077,10.14313833,,,,,
3.22,-8.92E-05,-0.089201549,10.17533333,,,,,
3.221,-8.91E-05,-0.089123032,10.20753833,,,,,
3.222,-8.90E-05,-0.089044524,10.23975333,,,,,
3.223,-8.90E-05,-0.088966027,10.27197833,,,,,
3.224,-8.89E-05,-0.088887539,10.30421333,,,,,
3.225,-8.88E-05,-0.088809063,10.33645833,,,,,
3.226,-8.87E-05,-0.088730596,10.36871333,,,,,
3.227,-8.87E-05,-0.08865214,10.40097833,,,,,
3.228,-8.86E-05,-0.088573694,10.43325333,,,,,
3.229,-8.85E-05,-0.088495259,10.46553833,,,,,
3.23,-8.84E-05,-0.088416834,10.49783333,,,,,
3.231,-8.83E-05,-0.08833842,10.53013833,,,,,
3.232,-8.83E-05,-0.088260016,10.56245333,,,,,
3.233,-8.82E-05,-0.088181623,10.59477833,,,,,
3.234,-8.81E-05,-0.08810324,10.62711333,,,,,
3.235,-8.80E-05,-0.088024868,10.65945833,,,,,
3.236,-8.79E-05,-0.087946507,10.69181333,,,,,
3.237,-8.79E-05,-0.087868156,10.72417833,,,,,
3.238,-8.78E-05,-0.087789817,10.75655333,,,,,
3.239,-8.77E-05,-0.087711487,10.78893833,,,,,
3.24,-8.76E-05,-0.087633169,10.82133333,,,,,
3.241,-8.76E-05,-0.087554862,10.85373833,,,,,
3.242,-8.75E-05,-0.087476565,10.88615333,,,,,
3.243,-8.74E-05,-0.087398279,10.91857833,,,,,
3.244,-8.73E-05,-0.087320004,10.95101333,,,,,
3.245,-8.72E-05,-0.08724174,10.98345833,,,,,
3.246,-8.72E-05,-0.087163487,11.01591333,,,,,
3.247,-8.71E-05,-0.087085245,11.04837833,,,,,
3.248,-8.70E-05,-0.087007014,11.08085333,,,,,
3.249,-8.69E-05,-0.086928795,11.11333833,,,,,
3.25,-8.69E-05,-0.086850586,11.14583333,,,,,
3.251,-8.68E-05,-0.086772388,11.17833833,,,,,
3.252,-8.67E-05,-0.086694202,11.21085333,,,,,
3.253,-8.66E-05,-0.086616027,11.24337833,,,,,
3.254,-8.65E-05,-0.086537863,11.27591333,,,,,
3.255,-8.65E-05,-0.08645971,11.30845833,,,,,
3.256,-8.64E-05,-0.086381569,11.34101333,,,,,
3.257,-8.63E-05,-0.086303439,11.37357833,,,,,
3.258,-8.62E-05,-0.08622532,11.40615333,,,,,
3.259,-8.61E-05,-0.086147213,11.43873833,,,,,
3.26,-8.61E-05,-0.086069117,11.47133333,,,,,
3.261,-8.60E-05,-0.085991033,11.50393833,,,,,
3.262,-8.59E-05,-0.08591296,11.53655333,,,,,
3.263,-8.58E-05,-0.085834899,11.56917833,,,,,
3.264,-8.58E-05,-0.085756849,11.60181333,,,,,
3.265,-8.57E-05,-0.085678811,11.63445833,,,,,
3.266,-8.56E-05,-0.085600785,11.66711333,,,,,
3.267,-8.55E-05,-0.08552277,11.69977833,,,,,
3.268,-8.54E-05,-0.085444767,11.73245333,,,,,
3.269,-8.54E-05,-0.085366776,11.76513833,,,,,
3.27,-8.53E-05,-0.085288796,11.79783333,,,,,
3.271,-8.52E-05,-0.085210828,11.83053833,,,,,
3.272,-8.51E-05,-0.085132872,11.86325333,,,,,
3.273,-8.51E-05,-0.085054928,11.89597833,,,,,
3.274,-8.50E-05,-0.084976996,11.92871333,,,,,
3.275,-8.49E-05,-0.084899076,11.96145833,,,,,
3.276,-8.48E-05,-0.084821167,11.99421333,,,,,
3.277,-8.47E-05,-0.084743271,12.02697833,,,,,
3.278,-8.47E-05,-0.084665387,12.05975333,,,,,
3.279,-8.46E-05,-0.084587515,12.09253833,,,,,
3.28,-8.45E-05,-0.084509654,12.12533333,,,,,
3.281,-8.44E-05,-0.084431806,12.15813833,,,,,
3.282,-8.44E-05,-0.084353971,12.19095333,,,,,
3.283,-8.43E-05,-0.084276147,12.22377833,,,,,
3.284,-8.42E-05,-0.084198335,12.25661333,,,,,
3.285,-8.41E-05,-0.084120536,12.28945833,,,,,
3.286,-8.40E-05,-0.084042749,12.32231333,,,,,
3.287,-8.40E-05,-0.083964975,12.35517833,,,,,
3.288,-8.39E-05,-0.083887213,12.38805333,,,,,
3.289,-8.38E-05,-0.083809463,12.42093833,,,,,
3.29,-8.37E-05,-0.083731725,12.45383333,,,,,
3.291,-8.37E-05,-0.083654,12.48673833,,,,,
3.292,-8.36E-05,-0.083576288,12.51965333,,,,,
3.293,-8.35E-05,-0.083498588,12.55257833,,,,,
3.294,-8.34E-05,-0.083420901,12.58551333,,,,,
3.295,-8.33E-05,-0.083343226,12.61845833,,,,,
3.296,-8.33E-05,-0.083265564,12.65141333,,,,,
3.297,-8.32E-05,-0.083187914,12.68437833,,,,,
3.298,-8.31E-05,-0.083110277,12.71735333,,,,,
3.299,-8.30E-05,-0.083032653,12.75033833,,,,,
3.3,-8.30E-05,-0.082955042,12.78333333,,,,,
3.301,-8.29E-05,-0.082877443,12.81633833,,,,,
3.302,-8.28E-05,-0.082799857,12.84935333,,,,,
3.303,-8.27E-05,-0.082722284,12.88237833,,,,,
3.304,-8.26E-05,-0.082644724,12.91541333,,,,,
3.305,-8.26E-05,-0.082567177,12.94845833,,,,,
3.306,-8.25E-05,-0.082489643,12.98151333,,,,,
3.307,-8.24E-05,-0.082412122,13.01457833,,,,,
3.308,-8.23E-05,-0.082334614,13.04765333,,,,,
3.309,-8.23E-05,-0.082257118,13.08073833,,,,,
3.31,-8.22E-05,-0.082179636,13.11383333,,,,,
3.311,-8.21E-05,-0.082102167,13.14693833,,,,,
3.312,-8.20E-05,-0.082024712,13.18005333,,,,,
3.313,-8.19E-05,-0.081947269,13.21317833,,,,,
3.314,-8.19E-05,-0.08186984,13.24631333,,,,,
3.315,-8.18E-05,-0.081792423,13.27945833,,,,,
3.316,-8.17E-05,-0.08171502,13.31261333,,,,,
3.317,-8.16E-05,-0.081637631,13.34577833,,,,,
3.318,-8.16E-05,-0.081560255,13.37895333,,,,,
3.319,-8.15E-05,-0.081482892,13.41213833,,,,,
3.32,-8.14E-05,-0.081405542,13.44533333,,,,,
3.321,-8.13E-05,-0.081328206,13.47853833,,,,,
3.322,-8.13E-05,-0.081250884,13.51175333,,,,,
3.323,-8.12E-05,-0.081173575,13.54497833,,,,,
3.324,-8.11E-05,-0.081096279,13.57821333,,,,,
3.325,-8.10E-05,-0.081018998,13.61145833,,,,,
3.326,-8.09E-05,-0.080941729,13.64471333,,,,,
3.327,-8.09E-05,-0.080864475,13.67797833,,,,,
3.328,-8.08E-05,-0.080787234,13.71125333,,,,,
3.329,-8.07E-05,-0.080710006,13.74453833,,,,,
3.33,-8.06E-05,-0.080632793,13.77783333,,,,,
3.331,-8.06E-05,-0.080555593,13.81113833,,,,,
3.332,-8.05E-05,-0.080478407,13.84445333,,,,,
3.333,-8.04E-05,-0.080401235,13.87777833,,,,,
3.334,-8.03E-05,-0.080324077,13.91111333,,,,,
3.335,-8.02E-05,-0.080246933,13.94445833,,,,,
3.336,-8.02E-05,-0.080169803,13.97781333,,,,,
3.337,-8.01E-05,-0.080092686,14.01117833,,,,,
3.338,-8.00E-05,-0.080015584,14.04455333,,,,,
3.339,-7.99E-05,-0.079938496,14.07793833,,,,,
3.34,-7.99E-05,-0.079861421,14.11133333,,,,,
3.341,-7.98E-05,-0.079784361,14.14473833,,,,,
3.342,-7.97E-05,-0.079707315,14.17815333,,,,,
3.343,-7.96E-05,-0.079630284,14.21157833,,,,,
3.344,-7.96E-05,-0.079553266,14.24501333,,,,,
3.345,-7.95E-05,-0.079476263,14.27845833,,,,,
3.346,-7.94E-05,-0.079399274,14.31191333,,,,,
3.347,-7.93E-05,-0.079322299,14.34537833,,,,,
3.348,-7.92E-05,-0.079245339,14.37885333,,,,,
3.349,-7.92E-05,-0.079168393,14.41233833,,,,,
3.35,-7.91E-05,-0.079091461,14.44583333,,,,,
3.351,-7.90E-05,-0.079014544,14.47933833,,,,,
3.352,-7.89E-05,-0.078937641,14.51285333,,,,,
3.353,-7.89E-05,-0.078860753,14.54637833,,,,,
3.354,-7.88E-05,-0.078783879,14.57991333,,,,,
3.355,-7.87E-05,-0.07870702,14.61345833,,,,,
3.356,-7.86E-05,-0.078630176,14.64701333,,,,,
3.357,-7.86E-05,-0.078553346,14.68057833,,,,,
3.358,-7.85E-05,-0.078476531,14.71415333,,,,,
3.359,-7.84E-05,-0.078399731,14.74773833,,,,,
3.36,-7.83E-05,-0.078322945,14.78133333,,,,,
3.361,-7.82E-05,-0.078246174,14.81493833,,,,,
3.362,-7.82E-05,-0.078169418,14.84855333,,,,,
3.363,-7.81E-05,-0.078092677,14.88217833,,,,,
3.364,-7.80E-05,-0.078015951,14.91581333,,,,,
3.365,-7.79E-05,-0.077939239,14.94945833,,,,,
3.366,-7.79E-05,-0.077862543,14.98311333,,,,,
3.367,-7.78E-05,-0.077785861,15.01677833,,,,,
3.368,-7.77E-05,-0.077709195,15.05045333,,,,,
3.369,-7.76E-05,-0.077632544,15.08413833,,,,,
3.37,-7.76E-05,-0.077555907,15.11783333,,,,,
3.371,-7.75E-05,-0.077479286,15.15153833,,,,,
3.372,-7.74E-05,-0.07740268,15.18525333,,,,,
3.373,-7.73E-05,-0.077326089,15.21897833,,,,,
3.374,-7.72E-05,-0.077249514,15.25271333,,,,,
3.375,-7.72E-05,-0.077172953,15.28645833,,,,,
3.376,-7.71E-05,-0.077096408,15.32021333,,,,,
3.377,-7.70E-05,-0.077019878,15.35397833,,,,,
3.378,-7.69E-05,-0.076943364,15.38775333,,,,,
3.379,-7.69E-05,-0.076866865,15.42153833,,,,,
3.38,-7.68E-05,-0.076790381,15.45533333,,,,,
3.381,-7.67E-05,-0.076713913,15.48913833,,,,,
3.382,-7.66E-05,-0.076637461,15.52295333,,,,,
3.383,-7.66E-05,-0.076561023,15.55677833,,,,,
3.384,-7.65E-05,-0.076484602,15.59061333,,,,,
3.385,-7.64E-05,-0.076408196,15.62445833,,,,,
3.386,-7.63E-05,-0.076331806,15.65831333,,,,,
3.387,-7.63E-05,-0.076255431,15.69217833,,,,,
3.388,-7.62E-05,-0.076179072,15.72605333,,,,,
3.389,-7.61E-05,-0.076102729,15.75993833,,,,,
3.39,-7.60E-05,-0.076026401,15.79383333,,,,,
3.391,-7.60E-05,-0.075950089,15.82773833,,,,,
3.392,-7.59E-05,-0.075873793,15.86165333,,,,,
3.393,-7.58E-05,-0.075797513,15.89557833,,,,,
3.394,-7.57E-05,-0.075721249,15.92951333,,,,,
3.395,-7.56E-05,-0.075645001,15.96345833,,,,,
3.396,-7.56E-05,-0.075568769,15.99741333,,,,,
3.397,-7.55E-05,-0.075492552,16.03137833,,,,,
3.398,-7.54E-05,-0.075416352,16.06535333,,,,,
3.399,-7.53E-05,-0.075340168,16.09933833,,,,,
3.4,-7.53E-05,-0.075264,16.13333333,,,,,
3.401,-7.52E-05,-0.075187848,16.16733833,,,,,
3.402,-7.51E-05,-0.075111712,16.20135333,,,,,
3.403,-7.50E-05,-0.075035593,16.23537833,,,,,
3.404,-7.50E-05,-0.074959489,16.26941333,,,,,
3.405,-7.49E-05,-0.074883402,16.30345833,,,,,
3.406,-7.48E-05,-0.074807332,16.33751333,,,,,
3.407,-7.47E-05,-0.074731277,16.37157833,,,,,
3.408,-7.47E-05,-0.074655239,16.40565333,,,,,
3.409,-7.46E-05,-0.074579218,16.43973833,,,,,
3.41,-7.45E-05,-0.074503212,16.47383333,,,,,
3.411,-7.44E-05,-0.074427224,16.50793833,,,,,
3.412,-7.44E-05,-0.074351251,16.54205333,,,,,
3.413,-7.43E-05,-0.074275296,16.57617833,,,,,
3.414,-7.42E-05,-0.074199357,16.61031333,,,,,
3.415,-7.41E-05,-0.074123434,16.64445833,,,,,
3.416,-7.40E-05,-0.074047528,16.67861333,,,,,
3.417,-7.40E-05,-0.073971639,16.71277833,,,,,
3.418,-7.39E-05,-0.073895767,16.74695333,,,,,
3.419,-7.38E-05,-0.073819911,16.78113833,,,,,
3.42,-7.37E-05,-0.073744072,16.81533333,,,,,
3.421,-7.37E-05,-0.07366825,16.84953833,,,,,
3.422,-7.36E-05,-0.073592445,16.88375333,,,,,
3.423,-7.35E-05,-0.073516656,16.91797833,,,,,
3.424,-7.34E-05,-0.073440885,16.95221333,,,,,
3.425,-7.34E-05,-0.07336513,16.98645833,,,,,
3.426,-7.33E-05,-0.073289393,17.02071333,,,,,
3.427,-7.32E-05,-0.073213672,17.05497833,,,,,
3.428,-7.31E-05,-0.073137969,17.08925333,,,,,
3.429,-7.31E-05,-0.073062283,17.12353833,,,,,
3.43,-7.30E-05,-0.072986613,17.15783333,,,,,
3.431,-7.29E-05,-0.072910961,17.19213833,,,,,
3.432,-7.28E-05,-0.072835326,17.22645333,,,,,
3.433,-7.28E-05,-0.072759709,17.26077833,,,,,
3.434,-7.27E-05,-0.072684108,17.29511333,,,,,
3.435,-7.26E-05,-0.072608525,17.32945833,,,,,
3.436,-7.25E-05,-0.072532959,17.36381333,,,,,
3.437,-7.25E-05,-0.072457411,17.39817833,,,,,
3.438,-7.24E-05,-0.07238188,17.43255333,,,,,
3.439,-7.23E-05,-0.072306367,17.46693833,,,,,
3.44,-7.22E-05,-0.07223087,17.50133333,,,,,
3.441,-7.22E-05,-0.072155392,17.53573833,,,,,
3.442,-7.21E-05,-0.072079931,17.57015333,,,,,
3.443,-7.20E-05,-0.072004487,17.60457833,,,,,
3.444,-7.19E-05,-0.071929061,17.63901333,,,,,
3.445,-7.19E-05,-0.071853653,17.67345833,,,,,
3.446,-7.18E-05,-0.071778263,17.70791333,,,,,
3.447,-7.17E-05,-0.07170289,17.74237833,,,,,
3.448,-7.16E-05,-0.071627534,17.77685333,,,,,
3.449,-7.16E-05,-0.071552197,17.81133833,,,,,
3.45,-7.15E-05,-0.071476878,17.84583333,,,,,
3.451,-7.14E-05,-0.071401576,17.88033833,,,,,
3.452,-7.13E-05,-0.071326292,17.91485333,,,,,
3.453,-7.13E-05,-0.071251026,17.94937833,,,,,
3.454,-7.12E-05,-0.071175778,17.98391333,,,,,
3.455,-7.11E-05,-0.071100548,18.01845833,,,,,
3.456,-7.10E-05,-0.071025336,18.05301333,,,,,
3.457,-7.10E-05,-0.070950142,18.08757833,,,,,
3.458,-7.09E-05,-0.070874967,18.12215333,,,,,
3.459,-7.08E-05,-0.070799809,18.15673833,,,,,
3.46,-7.07E-05,-0.070724669,18.19133333,,,,,
3.461,-7.06E-05,-0.070649548,18.22593833,,,,,
3.462,-7.06E-05,-0.070574445,18.26055333,,,,,
3.463,-7.05E-05,-0.07049936,18.29517833,,,,,
3.464,-7.04E-05,-0.070424294,18.32981333,,,,,
3.465,-7.03E-05,-0.070349245,18.36445833,,,,,
3.466,-7.03E-05,-0.070274215,18.39911333,,,,,
3.467,-7.02E-05,-0.070199204,18.43377833,,,,,
3.468,-7.01E-05,-0.070124211,18.46845333,,,,,
3.469,-7.00E-05,-0.070049236,18.50313833,,,,,
3.47,-7.00E-05,-0.06997428,18.53783333,,,,,
3.471,-6.99E-05,-0.069899343,18.57253833,,,,,
3.472,-6.98E-05,-0.069824424,18.60725333,,,,,
3.473,-6.97E-05,-0.069749524,18.64197833,,,,,
3.474,-6.97E-05,-0.069674642,18.67671333,,,,,
3.475,-6.96E-05,-0.069599779,18.71145833,,,,,
3.476,-6.95E-05,-0.069524934,18.74621333,,,,,
3.477,-6.95E-05,-0.069450109,18.78097833,,,,,
3.478,-6.94E-05,-0.069375302,18.81575333,,,,,
3.479,-6.93E-05,-0.069300514,18.85053833,,,,,
3.48,-6.92E-05,-0.069225745,18.88533333,,,,,
3.481,-6.92E-05,-0.069150995,18.92013833,,,,,
3.482,-6.91E-05,-0.069076264,18.95495333,,,,,
3.483,-6.90E-05,-0.069001551,18.98977833,,,,,
3.484,-6.89E-05,-0.068926858,19.02461333,,,,,
3.485,-6.89E-05,-0.068852183,19.05945833,,,,,
3.486,-6.88E-05,-0.068777528,19.09431333,,,,,
3.487,-6.87E-05,-0.068702892,19.12917833,,,,,
3.488,-6.86E-05,-0.068628275,19.16405333,,,,,
3.489,-6.86E-05,-0.068553677,19.19893833,,,,,
3.49,-6.85E-05,-0.068479098,19.23383333,,,,,
3.491,-6.84E-05,-0.068404539,19.26873833,,,,,
3.492,-6.83E-05,-0.068329999,19.30365333,,,,,
3.493,-6.83E-05,-0.068255478,19.33857833,,,,,
3.494,-6.82E-05,-0.068180976,19.37351333,,,,,
3.495,-6.81E-05,-0.068106494,19.40845833,,,,,
3.496,-6.80E-05,-0.068032031,19.44341333,,,,,
3.497,-6.80E-05,-0.067957588,19.47837833,,,,,
3.498,-6.79E-05,-0.067883164,19.51335333,,,,,
3.499,-6.78E-05,-0.06780876,19.54833833,,,,,
3.5,-6.77E-05,-0.067734375,19.58333333,,,,,
3.501,-6.77E-05,-0.06766001,19.61833833,,,,,
3.502,-6.76E-05,-0.067585664,19.65335333,,,,,
3.503,-6.75E-05,-0.067511338,19.68837833,,,,,
3.504,-6.74E-05,-0.067437032,19.72341333,,,,,
3.505,-6.74E-05,-0.067362746,19.75845833,,,,,
3.506,-6.73E-05,-0.067288479,19.79351333,,,,,
3.507,-6.72E-05,-0.067214232,19.82857833,,,,,
3.508,-6.71E-05,-0.067140005,19.86365333,,,,,
3.509,-6.71E-05,-0.067065797,19.89873833,,,,,
3.51,-6.70E-05,-0.06699161,19.93383333,,,,,
3.511,-6.69E-05,-0.066917443,19.96893833,,,,,
3.512,-6.68E-05,-0.066843295,20.00405333,,,,,
3.513,-6.68E-05,-0.066769168,20.03917833,,,,,
3.514,-6.67E-05,-0.06669506,20.07431333,,,,,
3.515,-6.66E-05,-0.066620973,20.10945833,,,,,
3.516,-6.65E-05,-0.066546906,20.14461333,,,,,
3.517,-6.65E-05,-0.066472858,20.17977833,,,,,
3.518,-6.64E-05,-0.066398832,20.21495333,,,,,
3.519,-6.63E-05,-0.066324825,20.25013833,,,,,
3.52,-6.63E-05,-0.066250838,20.28533333,,,,,
3.521,-6.62E-05,-0.066176872,20.32053833,,,,,
3.522,-6.61E-05,-0.066102926,20.35575333,,,,,
3.523,-6.60E-05,-0.066029001,20.39097833,,,,,
3.524,-6.60E-05,-0.065955096,20.42621333,,,,,
3.525,-6.59E-05,-0.065881211,20.46145833,,,,,
3.526,-6.58E-05,-0.065807347,20.49671333,,,,,
3.527,-6.57E-05,-0.065733503,20.53197833,,,,,
3.528,-6.57E-05,-0.06565968,20.56725333,,,,,
3.529,-6.56E-05,-0.065585877,20.60253833,,,,,
3.53,-6.55E-05,-0.065512095,20.63783333,,,,,
3.531,-6.54E-05,-0.065438334,20.67313833,,,,,
3.532,-6.54E-05,-0.065364593,20.70845333,,,,,
3.533,-6.53E-05,-0.065290873,20.74377833,,,,,
3.534,-6.52E-05,-0.065217174,20.77911333,,,,,
3.535,-6.51E-05,-0.065143496,20.81445833,,,,,
3.536,-6.51E-05,-0.065069838,20.84981333,,,,,
3.537,-6.50E-05,-0.064996201,20.88517833,,,,,
3.538,-6.49E-05,-0.064922585,20.92055333,,,,,
3.539,-6.48E-05,-0.06484899,20.95593833,,,,,
3.54,-6.48E-05,-0.064775416,20.99133333,,,,,
3.541,-6.47E-05,-0.064701863,21.02673833,,,,,
3.542,-6.46E-05,-0.064628331,21.06215333,,,,,
3.543,-6.46E-05,-0.06455482,21.09757833,,,,,
3.544,-6.45E-05,-0.06448133,21.13301333,,,,,
3.545,-6.44E-05,-0.064407861,21.16845833,,,,,
3.546,-6.43E-05,-0.064334414,21.20391333,,,,,
3.547,-6.43E-05,-0.064260987,21.23937833,,,,,
3.548,-6.42E-05,-0.064187582,21.27485333,,,,,
3.549,-6.41E-05,-0.064114198,21.31033833,,,,,
3.55,-6.40E-05,-0.064040836,21.34583333,,,,,
3.551,-6.40E-05,-0.063967495,21.38133833,,,,,
3.552,-6.39E-05,-0.063894175,21.41685333,,,,,
3.553,-6.38E-05,-0.063820877,21.45237833,,,,,
3.554,-6.37E-05,-0.0637476,21.48791333,,,,,
3.555,-6.37E-05,-0.063674344,21.52345833,,,,,
3.556,-6.36E-05,-0.06360111,21.55901333,,,,,
3.557,-6.35E-05,-0.063527898,21.59457833,,,,,
3.558,-6.35E-05,-0.063454707,21.63015333,,,,,
3.559,-6.34E-05,-0.063381538,21.66573833,,,,,
3.56,-6.33E-05,-0.06330839,21.70133333,,,,,
3.561,-6.32E-05,-0.063235265,21.73693833,,,,,
3.562,-6.32E-05,-0.063162161,21.77255333,,,,,
3.563,-6.31E-05,-0.063089078,21.80817833,,,,,
3.564,-6.30E-05,-0.063016018,21.84381333,,,,,
3.565,-6.29E-05,-0.062942979,21.87945833,,,,,
3.566,-6.29E-05,-0.062869962,21.91511333,,,,,
3.567,-6.28E-05,-0.062796968,21.95077833,,,,,
3.568,-6.27E-05,-0.062723995,21.98645333,,,,,
3.569,-6.27E-05,-0.062651044,22.02213833,,,,,
3.57,-6.26E-05,-0.062578115,22.05783333,,,,,
3.571,-6.25E-05,-0.062505208,22.09353833,,,,,
3.572,-6.24E-05,-0.062432323,22.12925333,,,,,
3.573,-6.24E-05,-0.062359461,22.16497833,,,,,
3.574,-6.23E-05,-0.06228662,22.20071333,,,,,
3.575,-6.22E-05,-0.062213802,22.23645833,,,,,
3.576,-6.21E-05,-0.062141006,22.27221333,,,,,
3.577,-6.21E-05,-0.062068233,22.30797833,,,,,
3.578,-6.20E-05,-0.061995481,22.34375333,,,,,
3.579,-6.19E-05,-0.061922752,22.37953833,,,,,
3.58,-6.19E-05,-0.061850045,22.41533333,,,,,
3.581,-6.18E-05,-0.061777361,22.45113833,,,,,
3.582,-6.17E-05,-0.061704699,22.48695333,,,,,
3.583,-6.16E-05,-0.06163206,22.52277833,,,,,
3.584,-6.16E-05,-0.061559443,22.55861333,,,,,
3.585,-6.15E-05,-0.061486849,22.59445833,,,,,
3.586,-6.14E-05,-0.061414277,22.63031333,,,,,
3.587,-6.13E-05,-0.061341728,22.66617833,,,,,
3.588,-6.13E-05,-0.061269202,22.70205333,,,,,
3.589,-6.12E-05,-0.061196698,22.73793833,,,,,
3.59,-6.11E-05,-0.061124217,22.77383333,,,,,
3.591,-6.11E-05,-0.061051759,22.80973833,,,,,
3.592,-6.10E-05,-0.060979324,22.84565333,,,,,
3.593,-6.09E-05,-0.060906911,22.88157833,,,,,
3.594,-6.08E-05,-0.060834522,22.91751333,,,,,
3.595,-6.08E-05,-0.060762155,22.95345833,,,,,
3.596,-6.07E-05,-0.060689811,22.98941333,,,,,
3.597,-6.06E-05,-0.060617491,23.02537833,,,,,
3.598,-6.05E-05,-0.060545193,23.06135333,,,,,
3.599,-6.05E-05,-0.060472918,23.09733833,,,,,
3.6,-6.04E-05,-0.060400667,23.13333333,,,,,
3.601,-6.03E-05,-0.060328438,23.16933833,,,,,
3.602,-6.03E-05,-0.060256233,23.20535333,,,,,
3.603,-6.02E-05,-0.060184051,23.24137833,,,,,
3.604,-6.01E-05,-0.060111892,23.27741333,,,,,
3.605,-6.00E-05,-0.060039757,23.31345833,,,,,
3.606,-6.00E-05,-0.059967644,23.34951333,,,,,
3.607,-5.99E-05,-0.059895555,23.38557833,,,,,
3.608,-5.98E-05,-0.05982349,23.42165333,,,,,
3.609,-5.98E-05,-0.059751448,23.45773833,,,,,
3.61,-5.97E-05,-0.059679429,23.49383333,,,,,
3.611,-5.96E-05,-0.059607434,23.52993833,,,,,
3.612,-5.95E-05,-0.059535463,23.56605333,,,,,
3.613,-5.95E-05,-0.059463515,23.60217833,,,,,
3.614,-5.94E-05,-0.05939159,23.63831333,,,,,
3.615,-5.93E-05,-0.059319689,23.67445833,,,,,
3.616,-5.92E-05,-0.059247812,23.71061333,,,,,
3.617,-5.92E-05,-0.059175959,23.74677833,,,,,
3.618,-5.91E-05,-0.059104129,23.78295333,,,,,
3.619,-5.90E-05,-0.059032323,23.81913833,,,,,
3.62,-5.90E-05,-0.058960541,23.85533333,,,,,
3.621,-5.89E-05,-0.058888783,23.89153833,,,,,
3.622,-5.88E-05,-0.058817049,23.92775333,,,,,
3.623,-5.87E-05,-0.058745339,23.96397833,,,,,
3.624,-5.87E-05,-0.058673652,24.00021333,,,,,
3.625,-5.86E-05,-0.05860199,24.03645833,,,,,
3.626,-5.85E-05,-0.058530351,24.07271333,,,,,
3.627,-5.85E-05,-0.058458737,24.10897833,,,,,
3.628,-5.84E-05,-0.058387147,24.14525333,,,,,
3.629,-5.83E-05,-0.058315581,24.18153833,,,,,
3.63,-5.82E-05,-0.058244039,24.21783333,,,,,
3.631,-5.82E-05,-0.058172521,24.25413833,,,,,
3.632,-5.81E-05,-0.058101028,24.29045333,,,,,
3.633,-5.80E-05,-0.058029559,24.32677833,,,,,
3.634,-5.80E-05,-0.057958114,24.36311333,,,,,
3.635,-5.79E-05,-0.057886694,24.39945833,,,,,
3.636,-5.78E-05,-0.057815298,24.43581333,,,,,
3.637,-5.77E-05,-0.057743926,24.47217833,,,,,
3.638,-5.77E-05,-0.057672579,24.50855333,,,,,
3.639,-5.76E-05,-0.057601256,24.54493833,,,,,
3.64,-5.75E-05,-0.057529958,24.58133333,,,,,
3.641,-5.75E-05,-0.057458685,24.61773833,,,,,
3.642,-5.74E-05,-0.057387436,24.65415333,,,,,
3.643,-5.73E-05,-0.057316212,24.69057833,,,,,
3.644,-5.72E-05,-0.057245012,24.72701333,,,,,
3.645,-5.72E-05,-0.057173838,24.76345833,,,,,
3.646,-5.71E-05,-0.057102688,24.79991333,,,,,
3.647,-5.70E-05,-0.057031562,24.83637833,,,,,
3.648,-5.70E-05,-0.056960462,24.87285333,,,,,
3.649,-5.69E-05,-0.056889387,24.90933833,,,,,
3.65,-5.68E-05,-0.056818336,24.94583333,,,,,
3.651,-5.67E-05,-0.05674731,24.98233833,,,,,
3.652,-5.67E-05,-0.05667631,25.01885333,,,,,
3.653,-5.66E-05,-0.056605334,25.05537833,,,,,
3.654,-5.65E-05,-0.056534383,25.09191333,,,,,
